driver_age_band,driver_sex,driver_experience,driver_education,driver_vehicle_relation,vehicle_type,vehicle_owner,vehicle_service_year,vehicle_defect,weather,road_surface,light_condition,time_of_day,synthetic_severity_label
18-30,Male,2-5yr,Above high school,Owner,Other,Owner,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,No Licence,Illiterate,Unknown,Automobile,Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,Above 10yr,Above high school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,No Licence,High school,Other,Lorry,Unknown,2-5yrs,No defect,Normal,Gravel,Darkness - lit,Morning,Slight
18-30,Male,Above 10yr,Illiterate,Owner,Motorcycle,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Owner,Public (>45 seats),Owner,2-5yrs,No defect,Raining,Asphalt,Daylight,Night,Slight
18-30,Male,5-10yr,High school,Employee,Automobile,Owner,Unknown,7,Raining,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,2-5yr,Writing & reading,Employee,Motorcycle,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Above high school,Owner,Motorcycle,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Night,Slight
31-50,Male,Below 1yr,High school,Other,Motorcycle,Organization,Below 1yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Other,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Illiterate,Owner,Automobile,Owner,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
Under 18,Male,2-5yr,High school,Employee,Other,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Junior high school,Owner,Motorcycle,Organization,1-2yr,No defect,Raining,Unknown,Daylight,Afternoon,Slight
18-30,Female,No Licence,High school,Other,Automobile,Owner,2-5yrs,No defect,Raining,Gravel,Daylight,Morning,Slight
18-30,Female,2-5yr,High school,Employee,Bajaj,Unknown,1-2yr,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
18-30,Female,Above 10yr,High school,Owner,Unknown,Owner,1-2yr,No defect,Windy,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,Above high school,Other,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Writing & reading,Owner,Bajaj,Governmental,Below 1yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Above high school,Unknown,Motorcycle,Governmental,2-5yrs,7,Windy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Junior high school,Employee,Motorcycle,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,High school,Owner,Automobile,Owner,Unknown,7,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Female,5-10yr,Illiterate,Owner,Lorry,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Junior high school,Owner,Automobile,Owner,5-10yrs,No defect,Windy,Gravel,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,High school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Employee,Bicycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Bajaj,Other,5-10yrs,No defect,Windy,Asphalt,Daylight,Evening,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Automobile,Owner,5-10yrs,Unknown,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,1-2yr,High school,Owner,Unknown,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Other,Daylight,Afternoon,Slight
18-30,Male,No Licence,High school,Unknown,Bajaj,Owner,2-5yrs,Unknown,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,No Licence,Unknown,Other,Automobile,Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Illiterate,Other,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,High school,Employee,Public (>45 seats),Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Female,2-5yr,Elementary school,Owner,Bajaj,Unknown,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Junior high school,Employee,Motorcycle,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Elementary school,Owner,Automobile,Owner,Above 10yr,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Unknown,Bajaj,Other,2-5yrs,No defect,Windy,Gravel,Daylight,Morning,Slight
31-50,Male,1-2yr,Elementary school,Other,Automobile,Owner,1-2yr,No defect,Normal,Unknown,Unknown,Morning,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Other,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Bajaj,Owner,1-2yr,No defect,Unknown,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,Illiterate,Owner,Motorcycle,Governmental,Unknown,5,Normal,Gravel,Darkness - lit,Evening,Slight
18-30,Male,5-10yr,Junior high school,Employee,Automobile,Organization,Below 1yr,No defect,Raining,Asphalt,Darkness - lit,Evening,Slight
Under 18,Male,Unknown,Junior high school,Owner,Automobile,Owner,1-2yr,No defect,Other,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Writing & reading,Owner,Automobile,Owner,Above 10yr,No defect,Raining,Asphalt,Darkness - unlit,Morning,Slight
Over 51,Male,Unknown,Above high school,Owner,Unknown,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Female,5-10yr,High school,Other,Motorcycle,Owner,Unknown,No defect,Raining,Asphalt,Darkness - lit,Evening,Slight
18-30,Male,Above 10yr,Junior high school,Other,Automobile,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Bajaj,Organization,1-2yr,Unknown,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Employee,Unknown,Owner,5-10yrs,Unknown,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Owner,Motorcycle,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Owner,Other,Governmental,Above 10yr,No defect,Normal,Asphalt,Daylight,Night,Slight
Over 51,Male,Below 1yr,Junior high school,Other,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Automobile,Owner,5-10yrs,5,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Unknown,Owner,Above 10yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Junior high school,Owner,Bajaj,Organization,Above 10yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
Over 51,Male,5-10yr,High school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,High school,Other,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,Above 10yr,Elementary school,Other,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Other,Motorcycle,Governmental,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Owner,Lorry,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Above high school,Owner,Public (>45 seats),Owner,Below 1yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Owner,Motorcycle,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Employee,Motorcycle,Governmental,Unknown,Unknown,Raining,Asphalt,Daylight,Morning,Slight
18-30,Male,No Licence,Junior high school,Owner,Bajaj,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Motorcycle,Unknown,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Unknown,Above high school,Employee,Other,Owner,5-10yrs,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Female,Above 10yr,Above high school,Owner,Motorcycle,Governmental,2-5yrs,No defect,Normal,Gravel,Darkness - unlit,Afternoon,Slight
18-30,Male,2-5yr,High school,Employee,Lorry,Unknown,Below 1yr,No defect,Windy,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,Above 10yr,High school,Owner,Automobile,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Elementary school,Owner,Motorcycle,Governmental,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Employee,Lorry,Unknown,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,High school,Owner,Unknown,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,5-10yr,Above high school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Above high school,Employee,Public (>45 seats),Owner,2-5yrs,No defect,Normal,Earth,Daylight,Evening,Slight
31-50,Male,5-10yr,Junior high school,Owner,Lorry,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Under 18,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Unknown,2-5yr,High school,Owner,Automobile,Owner,Unknown,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Owner,Other,Organization,Unknown,No defect,Raining,Unknown,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Above high school,Owner,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Darkness - unlit,Evening,Slight
18-30,Male,Below 1yr,High school,Employee,Bajaj,Organization,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Unknown,Evening,Slight
18-30,Male,Above 10yr,Junior high school,Unknown,Unknown,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Female,Unknown,Writing & reading,Other,Automobile,Governmental,1-2yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Junior high school,Other,Automobile,Owner,5-10yrs,No defect,Raining,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,2-5yr,Elementary school,Unknown,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Public (12 seats),Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Above 10yr,High school,Other,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Employee,Other,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Public (12 seats),Organization,Below 1yr,No defect,Windy,Asphalt,Daylight,Evening,Slight
18-30,Female,Above 10yr,High school,Owner,Public (12 seats),Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Writing & reading,Owner,Automobile,Unknown,Unknown,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
18-30,Male,2-5yr,Junior high school,Unknown,Bicycle,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Motorcycle,Organization,1-2yr,No defect,Cloudy,Other,Daylight,Morning,Slight
31-50,Male,Unknown,High school,Owner,Bajaj,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Unknown,High school,Employee,Public (12 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Above high school,Owner,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Public (12 seats),Owner,2-5yrs,No defect,Windy,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,High school,Employee,Automobile,Owner,Unknown,No defect,Normal,Unknown,Unknown,Evening,Slight
31-50,Male,Above 10yr,High school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Unknown,Employee,Automobile,Governmental,Above 10yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,1-2yr,Above high school,Employee,Public (>45 seats),Owner,Below 1yr,No defect,Raining,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Junior high school,Employee,Lorry,Owner,5-10yrs,No defect,Unknown,Unknown,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Above high school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Darkness - lit,Afternoon,Slight
31-50,Female,Above 10yr,Elementary school,Other,Motorcycle,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,Junior high school,Employee,Motorcycle,Other,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,2-5yr,Above high school,Owner,Public (12 seats),Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,1-2yr,Junior high school,Owner,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
Under 18,Female,5-10yr,Writing & reading,Owner,Automobile,Owner,2-5yrs,7,Cloudy,Unknown,Darkness - unlit,Night,Slight
18-30,Male,5-10yr,Illiterate,Unknown,Motorcycle,Owner,5-10yrs,No defect,Cloudy,Gravel,Daylight,Afternoon,Slight
Under 18,Male,5-10yr,Elementary school,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,High school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Other,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Unknown,Employee,Motorcycle,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Employee,Lorry,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Unknown,Motorcycle,Organization,Below 1yr,No defect,Unknown,Unknown,Darkness - lit,Morning,Slight
18-30,Male,5-10yr,High school,Other,Bicycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Motorcycle,Governmental,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
Over 51,Male,Above 10yr,Writing & reading,Employee,Motorcycle,Organization,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Employee,Public (>45 seats),Organization,2-5yrs,Unknown,Normal,Gravel,Unknown,Afternoon,Slight
18-30,Male,Above 10yr,Writing & reading,Owner,Other,Other,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,5-10yr,Elementary school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
Under 18,Male,5-10yr,Writing & reading,Employee,Bajaj,Organization,2-5yrs,No defect,Cloudy,Unknown,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Public (12 seats),Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Public (>45 seats),Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Junior high school,Owner,Unknown,Owner,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,Below 1yr,Elementary school,Employee,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Automobile,Owner,1-2yr,No defect,Raining,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,Unknown,Owner,Motorcycle,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Writing & reading,Other,Other,Other,2-5yrs,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,5-10yr,High school,Owner,Automobile,Other,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,2-5yr,High school,Owner,Lorry,Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Owner,Automobile,Other,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Other,Public (>45 seats),Governmental,Below 1yr,No defect,Other,Asphalt,Daylight,Evening,Slight
18-30,Male,No Licence,Elementary school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Employee,Public (12 seats),Owner,2-5yrs,5,Cloudy,Asphalt,Daylight,Morning,Slight
Unknown,Male,2-5yr,High school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Earth,Daylight,Morning,Slight
18-30,Male,Below 1yr,High school,Employee,Motorcycle,Owner,2-5yrs,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,1-2yr,Elementary school,Owner,Motorcycle,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,Above 10yr,High school,Other,Motorcycle,Owner,5-10yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,Above 10yr,High school,Employee,Bajaj,Owner,1-2yr,No defect,Normal,Other,Daylight,Afternoon,Slight
Unknown,Male,5-10yr,Illiterate,Employee,Lorry,Organization,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Public (12 seats),Owner,Below 1yr,No defect,Raining,Asphalt,Daylight,Night,Slight
18-30,Male,No Licence,Writing & reading,Other,Motorcycle,Organization,2-5yrs,5,Windy,Asphalt,Darkness - unlit,Morning,Slight
31-50,Male,Below 1yr,Unknown,Employee,Automobile,Organization,1-2yr,5,Normal,Asphalt,Unknown,Afternoon,Slight
18-30,Male,Above 10yr,High school,Employee,Automobile,Organization,Above 10yr,No defect,Cloudy,Earth,Daylight,Morning,Slight
31-50,Male,1-2yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Other,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,1-2yr,High school,Unknown,Automobile,Owner,1-2yr,No defect,Cloudy,Gravel,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Above high school,Unknown,Motorcycle,Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Owner,Motorcycle,Owner,Above 10yr,No defect,Raining,Asphalt,Darkness - unlit,Evening,Slight
31-50,Male,5-10yr,Above high school,Employee,Motorcycle,Other,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
18-30,Male,2-5yr,Junior high school,Employee,Bajaj,Owner,1-2yr,No defect,Raining,Gravel,Daylight,Afternoon,Slight
Over 51,Male,Below 1yr,Junior high school,Other,Motorcycle,Organization,2-5yrs,No defect,Normal,Unknown,Daylight,Evening,Slight
18-30,Female,2-5yr,Writing & reading,Owner,Motorcycle,Other,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,1-2yr,High school,Employee,Bajaj,Owner,Above 10yr,No defect,Normal,Other,Unknown,Morning,Slight
18-30,Male,5-10yr,Junior high school,Unknown,Bicycle,Other,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Organization,Unknown,No defect,Normal,Earth,Daylight,Afternoon,Slight
18-30,Female,1-2yr,High school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,5-10yr,Junior high school,Employee,Public (12 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Unknown,Evening,Slight
31-50,Male,1-2yr,Junior high school,Employee,Bajaj,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Unknown,Above high school,Employee,Automobile,Other,Above 10yr,5,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Above high school,Employee,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Junior high school,Other,Automobile,Organization,2-5yrs,No defect,Raining,Gravel,Daylight,Evening,Slight
18-30,Male,1-2yr,High school,Employee,Bajaj,Organization,Below 1yr,No defect,Normal,Earth,Unknown,Afternoon,Slight
18-30,Male,1-2yr,High school,Employee,Automobile,Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,High school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Unknown,Unknown,Afternoon,Slight
31-50,Male,Above 10yr,Above high school,Employee,Automobile,Owner,5-10yrs,Unknown,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Owner,Motorcycle,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,Above 10yr,High school,Employee,Automobile,Governmental,2-5yrs,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
31-50,Male,2-5yr,Writing & reading,Employee,Public (12 seats),Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,Elementary school,Other,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
Over 51,Male,2-5yr,Junior high school,Other,Lorry,Owner,Unknown,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Unknown,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Unknown,Evening,Slight
31-50,Male,1-2yr,Above high school,Employee,Motorcycle,Governmental,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Organization,5-10yrs,No defect,Normal,Gravel,Daylight,Night,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,High school,Owner,Automobile,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Unknown,Automobile,Owner,1-2yr,No defect,Other,Gravel,Unknown,Evening,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Governmental,Above 10yr,7,Unknown,Gravel,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Unknown,Bajaj,Owner,5-10yrs,No defect,Normal,Earth,Darkness - unlit,Evening,Slight
31-50,Female,5-10yr,Junior high school,Owner,Automobile,Unknown,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Female,No Licence,High school,Employee,Motorcycle,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Automobile,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Junior high school,Employee,Motorcycle,Other,Below 1yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Employee,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,2-5yr,High school,Employee,Automobile,Organization,Below 1yr,No defect,Windy,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Owner,Lorry,Organization,5-10yrs,No defect,Unknown,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Motorcycle,Organization,Unknown,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
31-50,Male,2-5yr,High school,Employee,Automobile,Unknown,2-5yrs,No defect,Normal,Earth,Daylight,Afternoon,Slight
31-50,Male,Unknown,High school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Earth,Unknown,Afternoon,Slight
18-30,Male,5-10yr,High school,Unknown,Other,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Illiterate,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Elementary school,Employee,Motorcycle,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Unknown,Junior high school,Employee,Automobile,Owner,Above 10yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
31-50,Female,5-10yr,Above high school,Employee,Motorcycle,Governmental,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Above high school,Employee,Motorcycle,Unknown,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Lorry,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
